#	########################################
#	##### Peptide Assembling #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./filtered.psm.txt
#	
#	pep{Run1} = ./filtered.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 28
#	Target_Proteins_Before_Filtering = 3867
#	Total_Proteins_Before_Filtering = 3895
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 25
#	Target_Proteins_After_Filtering = 2839
#	Total_Proteins_After_Filtering = 2864
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.00873
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
lipids|contig-13285000009_1	1	4	1	4	1.3333333333333333	1.33	N/A	T
lipids|contig-16700000003_1	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-20585000005_1	2	2	2	2	2.0	2.0	N/A	T
lipids|contig-25102000003_1	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-28402000013_2	4	5	4	5	2.5	2.5	N/A	T
lipids|contig-30104000008_2	1	2	1	2	1.0	1.0	N/A	T
lipids|contig-32601000015_2	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-33553000014_1	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-34603000000_1	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-35526000009_2	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-36063000003_1	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-36146000001_1	1	3	1	3	0.11538461538461539	0.12	N/A	T
lipids|contig-36301000010_2	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-37678000010_3	1	1	1	1	1.0	1.0	N/A	T
lipids|contig-39555000005_1	2	4	2	4	2.0	2.0	N/A	T
lipids|contig-43085000011_4	3	17	5	26	0.5777777777777777	0.58	N/A	T
lipids|contig-4840000003_1	1	4	1	4	1.0	1.0	N/A	T
lipids|contig-4865000013_3	3	4	4	5	2.5	2.5	N/A	T
lipids|contig-5547000009_1	2	2	2	2	2.0	2.0	N/A	T
merged|10005_2	1	1	1	1	1.0	1.0	N/A	T
merged|10028_7	3	3	3	3	3.0	3.0	N/A	T
merged|10031_139	1	2	1	2	0.6666666666666666	0.67	N/A	T
merged|10031_45	1	2	1	2	1.0	1.0	N/A	T
merged|10037_18	1	2	1	2	1.0	1.0	N/A	T
merged|10037_19	1	1	1	1	1.0	1.0	N/A	T
merged|10067_2	2	2	2	2	2.0	2.0	N/A	T
merged|10096_1	1	1	1	1	1.0	1.0	N/A	T
merged|10161_3	1	1	1	1	1.0	1.0	N/A	T
merged|10188_2	2	2	2	2	2.0	2.0	N/A	T
merged|10264_2	8	8	8	8	8.0	8.0	N/A	T
merged|10278_1	1	1	1	1	1.0	1.0	N/A	T
merged|10296_1	1	1	1	1	1.0	1.0	N/A	T
merged|10362_2	1	2	1	2	1.0	1.0	N/A	T
merged|10364_1	2	4	2	4	1.0	1.0	N/A	T
merged|1039_24	2	2	2	2	2.0	2.0	N/A	T
merged|1039_63	3	5	3	5	2.5	2.5	N/A	T
merged|10404_11	1	1	1	1	1.0	1.0	N/A	T
merged|10420_2	1	1	1	1	1.0	1.0	N/A	T
merged|10425_1	1	1	1	1	1.0	1.0	N/A	T
merged|1044_18	1	1	1	1	1.0	1.0	N/A	T
merged|10484_12	1	5	1	5	0.25	0.25	N/A	T
merged|10490_8	1	1	1	1	1.0	1.0	N/A	T
merged|10492_40	1	1	1	1	1.0	1.0	N/A	T
merged|10507_66	1	3	1	3	1.0	1.0	N/A	T
merged|10508_2	1	1	1	1	1.0	1.0	N/A	T
merged|10511_30	1	1	1	1	1.0	1.0	N/A	T
merged|10515_46	1	2	1	2	0.2857142857142857	0.29	N/A	T
merged|10516_18	1	1	1	1	1.0	1.0	N/A	T
merged|10516_62	2	2	2	2	2.0	2.0	N/A	T
merged|10516_78	3	4	3	4	2.0	2.0	N/A	T
merged|10517_21	3	4	3	4	2.0	2.0	N/A	T
merged|10517_40	3	3	3	3	3.0	3.0	N/A	T
merged|10518_140	2	2	2	2	2.0	2.0	N/A	T
merged|10518_142	10	10	12	12	12.0	12.0	N/A	T
merged|10518_181	1	1	1	1	1.0	1.0	N/A	T
merged|10518_187	1	1	1	1	1.0	1.0	N/A	T
merged|10518_211	6	13	12	33	2.75	2.75	N/A	T
merged|10518_218	1	1	1	1	1.0	1.0	N/A	T
merged|10518_57	1	4	1	4	0.8	0.8	N/A	T
merged|10522_14	1	1	1	1	1.0	1.0	N/A	T
merged|10527_3	1	1	1	1	1.0	1.0	N/A	T
merged|10541_5	1	1	1	1	1.0	1.0	N/A	T
merged|10562_1	1	1	1	1	1.0	1.0	N/A	T
merged|10563_8	2	7	2	18	1.6363636363636365	1.64	N/A	T
merged|10578_1	3	3	3	3	3.0	3.0	N/A	T
merged|10596_30	1	1	1	1	1.0	1.0	N/A	T
merged|10626_6	1	2	1	2	1.0	1.0	N/A	T
merged|10676_40	1	3	1	3	0.75	0.75	N/A	T
merged|10676_42	2	3	2	3	1.5	1.5	N/A	T
merged|10680_4	1	2	1	2	0.5	0.5	N/A	T
merged|10693_136	3	5	3	5	2.5	2.5	N/A	T
merged|10693_198	1	1	1	1	1.0	1.0	N/A	T
merged|10693_244	1	1	1	1	1.0	1.0	N/A	T
merged|10693_49	1	1	1	1	1.0	1.0	N/A	T
merged|10693_80	1	4	1	4	1.0	1.0	N/A	T
merged|10767_1	1	1	1	1	1.0	1.0	N/A	T
merged|10801_15	1	1	1	1	1.0	1.0	N/A	T
merged|10801_46	1	1	1	1	1.0	1.0	N/A	T
merged|10836_11	1	2	1	2	0.5	0.5	N/A	T
merged|10844_4	1	1	1	1	1.0	1.0	N/A	T
merged|10863_19	1	1	1	1	1.0	1.0	N/A	T
merged|10863_71	1	1	1	1	1.0	1.0	N/A	T
merged|10887_3	1	1	1	1	1.0	1.0	N/A	T
merged|10903_4	1	1	1	1	1.0	1.0	N/A	T
merged|11031_10	1	1	1	1	1.0	1.0	N/A	T
merged|11031_11	1	1	1	1	1.0	1.0	N/A	T
merged|11069_1	1	1	1	1	1.0	1.0	N/A	T
merged|11101_6	1	1	1	1	1.0	1.0	N/A	T
merged|11203_18	1	1	1	1	1.0	1.0	N/A	T
merged|11238_5	1	1	1	1	1.0	1.0	N/A	T
merged|11310_2	1	1	1	1	1.0	1.0	N/A	T
merged|11325_7	1	1	1	1	1.0	1.0	N/A	T
merged|11380_2	1	1	1	1	1.0	1.0	N/A	T
merged|11385_41	1	1	1	1	1.0	1.0	N/A	T
merged|11601_54	1	2	1	2	0.6666666666666666	0.67	N/A	T
merged|11628_3	2	3	2	3	1.0	1.0	N/A	T
merged|11633_1	1	1	1	1	1.0	1.0	N/A	T
merged|11670_2	1	1	1	1	1.0	1.0	N/A	T
merged|11732_12	2	2	3	3	3.0	3.0	N/A	T
merged|11734_15	1	1	1	1	1.0	1.0	N/A	T
merged|11734_29	1	1	1	1	1.0	1.0	N/A	T
merged|11734_85	2	2	2	2	2.0	2.0	N/A	T
merged|11738_10	1	1	1	1	1.0	1.0	N/A	T
merged|11766_56	2	2	2	2	2.0	2.0	N/A	T
merged|11835_1	4	5	4	5	2.5	2.5	N/A	T
merged|11835_2	1	1	1	1	1.0	1.0	N/A	T
merged|11867_14	1	20	1	48	4.8	4.8	N/A	T
merged|1186_21	1	2	1	2	1.0	1.0	N/A	T
merged|1186_25	2	12	2	12	0.1935483870967742	0.19	N/A	T
merged|1186_29	1	1	1	1	1.0	1.0	N/A	T
merged|11888_3	1	1	1	1	1.0	1.0	N/A	T
merged|11897_21	1	2	1	2	1.0	1.0	N/A	T
merged|11897_31	1	1	1	1	1.0	1.0	N/A	T
merged|11901_7	1	1	1	1	1.0	1.0	N/A	T
merged|11926_1	1	1	1	1	1.0	1.0	N/A	T
merged|11936_8	1	9	1	13	0.2549019607843137	0.25	N/A	T
merged|11948_10	1	1	1	1	1.0	1.0	N/A	T
merged|11988_20	1	5	1	5	2.5	2.5	N/A	T
merged|12253_10	1	1	1	1	1.0	1.0	N/A	T
merged|123_2	1	3	1	4	2.0	2.0	N/A	T
merged|123_5	3	5	3	6	3.0	3.0	N/A	T
merged|12493_17	1	3	1	3	0.75	0.75	N/A	T
merged|12493_35	2	2	3	3	3.0	3.0	N/A	T
merged|12493_44	1	1	1	1	1.0	1.0	N/A	T
merged|12522_18	1	1	1	1	1.0	1.0	N/A	T
merged|12522_28	2	2	2	2	2.0	2.0	N/A	T
merged|12541_1	1	1	1	1	1.0	1.0	N/A	T
merged|12587_1	1	1	1	1	1.0	1.0	N/A	T
merged|12622_2	2	2	2	2	2.0	2.0	N/A	T
merged|1263_33	1	1	1	1	1.0	1.0	N/A	T
merged|1263_34	1	1	1	1	1.0	1.0	N/A	T
merged|1263_35	2	3	2	3	1.5	1.5	N/A	T
merged|1263_47	3	3	3	3	3.0	3.0	N/A	T
merged|12641_14	1	1	1	1	1.0	1.0	N/A	T
merged|12643_5	1	1	1	1	1.0	1.0	N/A	T
merged|12734_1	1	3	1	4	1.0	1.0	N/A	T
merged|12771_2	2	2	2	2	2.0	2.0	N/A	T
merged|12774_10	1	1	1	1	1.0	1.0	N/A	T
merged|12774_19	2	2	2	2	2.0	2.0	N/A	T
merged|12774_28	3	9	3	11	0.44	0.44	N/A	T
merged|12799_1	2	2	2	2	2.0	2.0	N/A	T
merged|12842_36	3	4	3	4	2.0	2.0	N/A	T
merged|12844_2	1	2	1	3	0.75	0.75	N/A	T
merged|12915_2	1	1	2	2	2.0	2.0	N/A	T
merged|12915_23	1	3	1	4	2.0	2.0	N/A	T
merged|12915_24	1	1	1	1	1.0	1.0	N/A	T
merged|12996_1	1	1	1	1	1.0	1.0	N/A	T
merged|13008_1	1	1	1	1	1.0	1.0	N/A	T
merged|13100_6	1	1	1	1	1.0	1.0	N/A	T
merged|13100_7	1	1	1	1	1.0	1.0	N/A	T
merged|13165_5	2	2	2	2	2.0	2.0	N/A	T
merged|13210_3	1	2	1	2	1.0	1.0	N/A	T
merged|13230_8	1	1	1	1	1.0	1.0	N/A	T
merged|13231_7	1	1	1	1	1.0	1.0	N/A	T
merged|13368_1	6	13	6	16	2.0	2.0	N/A	T
merged|13368_2	1	1	1	1	1.0	1.0	N/A	T
merged|1336_6	1	2	1	2	0.6666666666666666	0.67	N/A	T
merged|13405_2	1	1	1	1	1.0	1.0	N/A	T
merged|13494_7	1	1	1	1	1.0	1.0	N/A	T
merged|13514_1	4	4	16	16	16.0	16.0	N/A	T
merged|13658_2	1	1	1	1	1.0	1.0	N/A	T
merged|13660_12	1	1	1	1	1.0	1.0	N/A	T
merged|13669_17	1	1	1	1	1.0	1.0	N/A	T
merged|13675_1	1	3	1	3	1.5	1.5	N/A	T
merged|13690_17	2	2	2	2	2.0	2.0	N/A	T
merged|13690_19	1	2	1	2	1.0	1.0	N/A	T
merged|13691_1	1	1	1	1	1.0	1.0	N/A	T
merged|13692_5	1	1	1	1	1.0	1.0	N/A	T
merged|13696_23	1	4	1	4	0.8	0.8	N/A	T
merged|13699_67	1	1	1	1	1.0	1.0	N/A	T
merged|13700_25	3	6	3	6	0.6666666666666666	0.67	N/A	T
merged|13700_30	1	1	1	1	1.0	1.0	N/A	T
merged|13700_4	1	1	1	1	1.0	1.0	N/A	T
merged|13710_10	1	2	1	2	1.0	1.0	N/A	T
merged|13714_11	1	1	1	1	1.0	1.0	N/A	T
merged|13715_9	1	4	1	4	0.8	0.8	N/A	T
merged|13717_114	2	2	2	2	2.0	2.0	N/A	T
merged|13717_14	2	2	2	2	2.0	2.0	N/A	T
merged|13717_50	1	1	1	1	1.0	1.0	N/A	T
merged|13717_79	1	1	1	1	1.0	1.0	N/A	T
merged|13726_2	1	1	1	1	1.0	1.0	N/A	T
merged|13729_2	2	2	2	2	2.0	2.0	N/A	T
merged|13729_6	2	2	2	2	2.0	2.0	N/A	T
merged|13732_18	1	1	1	1	1.0	1.0	N/A	T
merged|13733_22	2	2	2	2	2.0	2.0	N/A	T
merged|13737_21	1	1	1	1	1.0	1.0	N/A	T
merged|13746_77	1	2	1	2	1.0	1.0	N/A	T
merged|13761_39	1	1	1	1	1.0	1.0	N/A	T
merged|13762_41	1	1	1	1	1.0	1.0	N/A	T
merged|13762_66	1	1	1	1	1.0	1.0	N/A	T
merged|13782_3	1	1	1	1	1.0	1.0	N/A	T
merged|13783_21	4	4	4	4	4.0	4.0	N/A	T
merged|13783_40	1	1	1	1	1.0	1.0	N/A	T
merged|13875_40	1	1	1	1	1.0	1.0	N/A	T
merged|13875_50	2	2	4	4	4.0	4.0	N/A	T
merged|13877_81	1	1	1	1	1.0	1.0	N/A	T
merged|1391_2	1	1	1	1	1.0	1.0	N/A	T
merged|13953_1	2	2	2	2	2.0	2.0	N/A	T
merged|1396_30	1	1	1	1	1.0	1.0	N/A	T
merged|1396_40	1	2	1	2	0.09090909090909091	0.09	N/A	T
merged|13989_5	1	1	1	1	1.0	1.0	N/A	T
merged|14010_15	1	1	1	1	1.0	1.0	N/A	T
merged|14010_61	1	1	1	1	1.0	1.0	N/A	T
merged|14094_1	1	1	1	1	1.0	1.0	N/A	T
merged|14241_7	1	3	1	3	1.5	1.5	N/A	T
merged|14242_11	1	1	1	1	1.0	1.0	N/A	T
merged|1441_2	1	1	1	1	1.0	1.0	N/A	T
merged|14521_10	4	4	4	4	4.0	4.0	N/A	T
merged|14521_3	1	1	1	1	1.0	1.0	N/A	T
merged|14521_9	1	5	1	5	1.0	1.0	N/A	T
merged|14544_13	4	6	4	6	3.0	3.0	N/A	T
merged|14544_184	1	1	1	1	1.0	1.0	N/A	T
merged|14544_191	2	3	2	3	1.0	1.0	N/A	T
merged|14544_48	5	9	6	10	2.5	2.5	N/A	T
merged|14544_60	1	6	1	9	0.3333333333333333	0.33	N/A	T
merged|14544_95	5	5	5	5	5.0	5.0	N/A	T
merged|14576_3	1	1	1	1	1.0	1.0	N/A	T
merged|145_24	1	1	1	1	1.0	1.0	N/A	T
merged|14620_1	1	1	1	1	1.0	1.0	N/A	T
merged|14650_6	1	2	1	2	1.0	1.0	N/A	T
merged|1465_3	1	1	1	1	1.0	1.0	N/A	T
merged|14688_3	2	2	2	2	2.0	2.0	N/A	T
merged|14751_13	2	2	3	3	3.0	3.0	N/A	T
merged|14751_6	1	3	1	3	1.5	1.5	N/A	T
merged|14751_8	1	2	1	2	0.2	0.2	N/A	T
merged|14751_9	1	7	1	7	0.11666666666666667	0.12	N/A	T
merged|14842_9	1	1	1	1	1.0	1.0	N/A	T
merged|14892_15	1	2	1	2	1.0	1.0	N/A	T
merged|15016_1	1	1	1	1	1.0	1.0	N/A	T
